"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2022","Imprisoned","Dieudonné Niyonsenga",,"Rwanda",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/DieudonnNiyonsenga.jpeg_a01b99c7-8793-4a73-a0bb-b6a87fcaaec2.jpeg","John Williams Ntwali","Journalist","Imprisoned","N/A","Imprisoned","Staff","Ishema TV","Internet Reporter,Publisher/Owner","Culture,Human Rights,Politics","Internet","Rwanda","Kigali",,,"Kigali",,"Local",,,,,,,,,,,"5-10 Years","No",,,,"7 years",
"2022","Imprisoned","Diren Yurtsever",,"Turkey",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Yurtsever_crop.jpg_831e66df-5b10-48dc-8bc3-df70038b8163.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Editor","Corruption, Crime, Culture, Human Rights, Politics, War","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Dmytro Khilyuk",,"Ukraine",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Khilyuk.png_41ef0acf-db6c-4755-b652-fc12dab1d446.png","Credit withheld","Journalist","Imprisoned","N/A","Imprisoned","Staff","UNIAN","Internet Reporter","Corruption, Crime, Human Rights, Politics","Internet","Russia","Bryansk",,,"Bryansk",,"Foreign",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Doan Kien Giang",,"Vietnam",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Bao Sach (Clean Newspaper)","Internet Reporter","Human Rights, Politics","Internet","Vietnam",,,,,,"Local",,,,,,,,,"Anti-state",,"1-5 Years","No",,,,"3 years",
"2022","Imprisoned","Dzianis Ivashyn",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet","Belarus","Hrodna",,,"Hrodna",,"Local",,,,,,,,,"Anti-state",,"10+ Years","Yes",,,,"13 years 1 month",
"2022","Imprisoned","Dzmitry Luksha",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Broadcast Reporter","Politics, War","Internet, Television","Belarus","Minsk",,,"Minsk",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Dzmitry Navazhylau",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","BelaPAN","Editor","Business, Corruption, Crime, Culture, Human Rights, Politics","Internet","Belarus","Vitebsk",,,"Vitebsk",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"5-10 Years","No",,,,"6 years",
"2022","Imprisoned","Ehsan Pirbornash",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Iran Varzeshii","Internet Reporter, Print Reporter","Sports","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Elahe Mohammadi",,"Iran",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Hammihan Newspaper","Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran","Tehran",,,"Tehran",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Elif Üngür",,"Turkey",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Diyarbakr6ElifUngur.jpg_f4271937-3ea1-4ca0-b86a-6821dbd697a6.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Freelance","PİYA Production Company","Broadcast Reporter","Culture, Human Rights","Internet, Television","Turkey","Diyarbakır",,,"Diyarbakır",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Elmira Bahmani",,"Iran",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator, Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran","Rasht",,,"Rasht",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Emrullah Acar",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/emrullahacarnew.jpg_05ce1d80-ed44-42fa-9f93-4c0095b7a181.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Internet Reporter","Crime, Human Rights, Politics","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ercan Gün",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","FOX TV Turkey","Broadcast Reporter, Editor","Corruption, Crime, Culture, Human Rights, Politics, War","Television","Turkey","Istanbul",,,"Istanbul",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","Yes",,,,"10 years","Istanbul"
"2022","Imprisoned","Erdal Süsem",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Eylül Sanat Edebiyat Dergisi","Publisher/Owner","Culture, Politics","Print","Turkey","Edirne",,,"Edirne",,"Local",,,,,,,,,"Anti-state",,"Life","No",,,,"Life","Edirne"
"2022","Imprisoned","Erkan Akkuş",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Bugün TV","Broadcast Reporter","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Television","Turkey","Istanbul",,,"Istanbul",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"6 years 3 months",
"2022","Imprisoned","Erkin Tursun",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Ili Television Station","Broadcast Reporter, Producer","Culture, Human Rights, Politics","Television","China","Ili Kazakh Autonomous Prefecture","Ili Kazakh Autonomous Prefecture",,"Ili Kazakh Autonomous Prefecture",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"20 years",
"2022","Imprisoned","Essam al-Zamil",,"Saudi Arabia",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator","Business","Internet","Saudi Arabia","Riyadh",,,"Riyadh",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"15 years",
"2022","Imprisoned","Fahad Shah",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/FahadShah.jfif_9e84d0fd-a095-461d-b15a-8571d0c67578.jpeg","The Kashmir Walla/Umer Asif","Journalist","Imprisoned","N/A","Imprisoned","Staff","The Kashmir Walla"," Internet Reporter,Editor,Publisher/Owner","Human Rights, Politics, War","Internet","India","Srinagar","Jammu and Kashmir",,"Srinagar",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Fahimeh Nazari",,"Iran",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter, Print Reporter","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Faizullah Faizbakhsh",,"Afghanistan",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Producer","Human Rights, Politics, War","Documentary Film, Internet","Afghanistan",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Fardin Kamangar",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Goran Magazine","Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Fares Maamou",,"Syria",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator, Internet Reporter","Human Rights, Politics","Internet, Television","Syria","Syria",,,"Syria",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Farkhondeh Ashori",,"Iran",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter, Print Reporter","Corruption, Culture, Human Rights, Politics","Internet, Print","Iran","Shiraz",,,"Shiraz",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Farshid Ghorbanpour",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","HaftSobh (7sobh)","Columnist/Commentator, Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Faruk Akkan",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Cihan News Agency","Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet","Turkey","Istanbul",,,"Istanbul",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"9 years","Istanbul"
"2022","Imprisoned","Farzaneh Yahya-Abadi",,"Iran",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter, Print Reporter","Business, Corruption, Culture, Human Rights, Politics, Sports","Internet, Print","Iran","Abadan",,,"Abadan",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Fevzi Yazıcı",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Zaman","Technician","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Print","Turkey","Istanbul",,,"Istanbul",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"11 years 3 months","Istanbul"
"2022","Imprisoned","Florianne Irangabiye",,"Burundi",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Radio Igicaniro","Broadcast Reporter, Columnist/Commentator, Publisher/Owner","Human Rights, Politics","Internet","Burundi",,,,,,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Frenchie Mae Cumpio",,"Philippines",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Eastern Vista, Aksyon Radyo Tacloban DYVL 819","Broadcast Reporter, Internet Reporter","Politics, War","Internet, Radio","Philippines","Tacloban City",,,"Tacloban City",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Fung Wai-kong",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Apple Daily, Next Digital Limited","Columnist/Commentator, Editor","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","China","Hong Kong",,,"Hong Kong",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Gautam Navlakha",,"India",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator","Human Rights, Politics, War","Internet, Print","India","Mumbai",,"Maharashtra","Mumbai",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Ghebrehiwet Keleta",,"Eritrea",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Tsigenay","Print Reporter","Politics","Print","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Gheyrat Niyaz (Hailaite Niyazi)",,"China",,,"Male","https://cpj-photos.s3.amazonaws.com/Gheyrat%20Niyaz_China%20Political%20Prisoner%20Concern%20case%2000016-2017-12-18-1513624768842.jpg","China political Prisoner Concern case 00016","Journalist","Imprisoned","N/A","Imprisoned","Staff","Uighurbiz","Editor","Culture, Human Rights, Politics","Internet","China","Changji, Xinjiang","Xinjiang",,"Changji, Xinjiang",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"15 years","Changji, Xinjiang"
"2022","Imprisoned","Guhdar Zebari",,"Iraq",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Wllat Media","Editor, Internet Reporter","Corruption, Human Rights, Politics","Internet","Iraq","Erbil, Iraqi Kurdistan",,,"Erbil, Iraqi Kurdistan",,"Local",,,,,,,,,"Anti-state",,"0-5 Years","No",,,,"2 years 4 months",
"2022","Imprisoned","Gulmire Imin",,"China",,,"Female","https://cpj-photos.s3.amazonaws.com/Gulmire%20Imin_China%20Political%20Prisoner%20Concern%20case%2000015-2017-12-18-1513624807712.jpg","China Political Prisoner Concern case 00015","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Culture, Human Rights, Politics","Internet","China","Urumqi, Xinjiang","Xinjiang",,"Urumqi, Xinjiang",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"19 years 8 months","Urumqi, Xinjiang"
"2022","Imprisoned","Gültekin Avcı",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Bugün","Columnist/Commentator","Crime, Politics","Internet, Print","Turkey","Izmir City",,,"Izmir City",,"Local",,,,,,,,,"Anti-state",,"Life","No",,,,"Life","Istanbul"
"2022","Imprisoned","Hakan Yalçın",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Ankara6HakanYalcn.JPG_a96200c2-cc38-4ecf-b320-773d3d185713.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mezopotamya News Agency","Internet Reporter","Crime, Human Rights, Politics","Internet","Turkey","Ankara",,,"Ankara",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Hamdi Mokhtar (Hamdi al-Zaeem)",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator, Documentary Filmmaker, Photographer, Producer","Corruption, Politics","Documentary Film, Internet, Print, Radio, Television","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state, False News",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Hamed Shafiei",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Shargh Daily","Internet Reporter, Print Reporter","Corruption, Culture, Human Rights, Politics","Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Hamid Mohamed Said",,"Eritrea",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Eri TV","Broadcast Reporter, Editor","Politics, Sports","Television","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Hanthar Nyein",,"Myanmar",,,"Male",,"Kamayut Media","Journalist","Imprisoned","N/A","Imprisoned","Staff","Kamayut Media","Producer, Publisher/Owner","Human Rights, Politics","Internet","Myanmar","Yangon",,,"Yangon",,"Local",,,,,,,,,"Anti-state, False News",,"1-5 Years","No",,,,"2 years",
"2022","Imprisoned","Hassan Qambar",,"Bahrain",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator","Human Rights, Politics","Internet","Bahrain","Manama",,,"Manama",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"10+ Years","No",,,,"100 years",
"2022","Imprisoned","Hatice Duman",,"Turkey",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Duman_crop.png_2dfd13d0-8440-47f5-9a0a-19118fe3e171.png","Haydar Duman","Journalist","Imprisoned","N/A","Imprisoned","Staff","Atılım","Editor, Publisher/Owner","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Print","Turkey","Istanbul",,,"Istanbul",,"Local",,,,,,,,,"Anti-state",,"Life","Yes",,,,"Life","Kocaeli"
"2022","Imprisoned","Henadz Mazheyka",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Komsomolskaya Pravda","Internet Reporter, Print Reporter","Corruption, Culture, Human Rights, Politics","Internet, Print","Belarus","Minsk",,,"Minsk",,"Local",,,,,,,,,"Retaliatory",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Hisham Abdelaziz",,"Egypt",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Al-Jazeera Mubasher","Documentary Filmmaker, Producer","Culture","Documentary Film, Internet, Television","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Hmu Yadanar Khet Moh Moh Tun",,"Myanmar",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/HmuYadanarKhetMohMohTun-MyanmarPressphotoAgency%281%29.jpeg_c5d357a2-4855-41c5-b009-64cbcd74599c.jpeg","Myanmar Pressphoto Agency","Journalist","Imprisoned","N/A","Imprisoned","Staff","Myanmar Pressphoto Agency","Camera Operator","Human Rights, Politics","Internet","Myanmar","Yangon",,,"Yangon",,"Local",,,,,,,,,"Anti-state, False News",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Hossein Ismaeili",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Photographer","Culture, Human Rights, Politics, Sports","Documentary Film, Internet, Print","Iran",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","Yes",,,,"Not sentenced",
"2022","Imprisoned","Htet Htet Khine",,"Myanmar",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/HtetHtetKhine.jpg_7daf9c6a-bc27-4f28-a354-61368118f26e.jpeg","BBC Media Action","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Producer","Politics","Radio","Myanmar","Yangon",,,"Yangon",,"Local",,,,,,,,,"Anti-state",,"5-10 years","No",,,,"5 years",
"2022","Imprisoned","Htun Than Aung",,"Myanmar",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/HtunThanAung-MekongNewsAgency%281%29.jpg_18557b7c-5f54-49ae-8b6a-c9b971adc34f.jpeg","Mekong News","Journalist","Imprisoned","N/A","Imprisoned","Staff","Mekong News","Editor","Human Rights, Politics","Internet","Myanmar","Kengtung",,,"Kengtung",,"Local",,,,,,,,,"Anti-state",,"1-5 Years","No",,,,"3 years",
"2022","Imprisoned","Hu Yazhu",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Nanfang Daily","Print Reporter","Corruption","Print","China","Changchun",,,"Changchun","Jilin","Local",,,,,,,,,"Retaliatory",,"10+ Years","No",,,,"13 years","Changchun, Jilin"
"2022","Imprisoned","Huang Qi",,"China",,,"Male","https://cpj-photos.s3.amazonaws.com/Huang%20Qi_64Tianwang-2017-12-18-1513624856274.jpg","64 Tianwang","Journalist","Imprisoned","N/A","Imprisoned","Staff","64 Tianwang","Internet Reporter, Publisher/Owner","Corruption, Human Rights, Politics","Internet","China","Chengdu, Sichuan",,,"Chengdu, Sichuan","Sichuan","Local",,,,,,,,,"Anti-state",,"10+ Years","Yes",,,,"12 years","Chengdu, Sichuan"
"2022","Imprisoned","Huynh Thuc Vy",,"Vietnam",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/HuynhThucVy%281%29%281%29.jpg_c37e5c3d-25be-4744-8b31-bfde2fb8975a.jpeg","Huynh Ngoc Tuan","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Human Rights, Politics","Internet","Vietnam","Gia Lai",,,,"Gia Lai","Local",,,,,,,,,"Anti-state",,"1-5 Years","No",,,,"2 years 9 months",
"2022","Imprisoned","Ibrahim Ahmed Awad",,"Syria",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator, Internet Reporter","Human Rights, Politics, War","Internet, Television","Jordan","Azraq refugee camp",,,"Azraq refugee camp",,"Foreign",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","İbrahim Koyuncu",,"Turkey",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Diyarbakr14ibrahimKoyuncu.jpg_d512db3d-6dc4-46df-8d90-2f2275a51b57.jpeg","Mezopotamya News Agency","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator, Technician","Culture, Human Rights, Politics","Documentary Film, Internet, Television","Turkey","Diyarbakır",,,"Diyarbakır",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Idris Said (Abba Arre)",,"Eritrea",,,"Male","https://cpj-photos.s3.amazonaws.com/Idris%20Abba%20Arre_%20PEN%20Eritrea-2017-12-28-1514482299984.jpg","Pen Eritrea/ Unknown","Journalist","Imprisoned","N/A","Imprisoned","Staff","Tsigenay, Eritrea al-Haditha","Print Reporter","Culture, Politics","Print","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","Yes",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Igor Kuznetsov",,"Russia",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Kuznetsov.png_57035ac4-c19c-44a4-adfd-5f8b686f648c.png","RusNews/YouTube","Journalist","Imprisoned","N/A","Imprisoned","Freelance","RusNews","Camera Operator, Internet Reporter","Human Rights, Politics","Internet","Russia","Moscow",,,"Moscow",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ilham Tohti",,"China",,,"Male","https://cpj-photos.s3.amazonaws.com/Ilham%20Tohti_China%20Political%20Prisoner%20Concern%20case%2000059-2017-12-18-1513624901950.jpg","China Political Prisoner Concern case 00059","Journalist","Imprisoned","N/A","Imprisoned","Staff","Uighurbiz","Internet Reporter","Human Rights, Politics","Internet","China","Urumqi, Xinjiang","Xinjiang",,"Urumqi, Xinjiang",,"Local",,,,,,,,,"Anti-state",,"Life","Yes",,,,"Life","Urumqi, Xinjiang"
"2022","Imprisoned","Ilham Weli",,"China",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Xinjiang Daily","Editor","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Print","China",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Iman Behpasand",,"Iran",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Columnist/Commentator, Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Iran","Tehran",,,"Tehran",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Iryna Danylovych",,"Ukraine",,,"Female","https://cpj-photos.s3.us-west-2.amazonaws.com/beta/Danilovich.jpeg_042b55c5-d741-4841-b338-af097fe14aa3.jpeg","Andrii Zubariev","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter","Human Rights","Internet","Russia","Simferopol",,,"Simferopol",,"Foreign",,,,,,,,,"Retaliatory",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Iryna Leushyna",,"Belarus",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","BelaPAN","Editor","Business, Corruption, Crime, Culture, Human Rights, Politics","Internet","Belarus","Minsk",,,"Minsk",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"1-5 Years","No",,,,"4 years",
"2022","Imprisoned","Iryna Slaunikava",,"Belarus",,,"Female",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Belsat TV","Internet Reporter","Politics","Internet","Belarus","Homel",,,"Homel",,"Local",,,,,,,,,"Anti-state, Retaliatory",,"5-10 years","No",,,,"5 years",
"2022","Imprisoned","Ismail Alexandrani",,"Egypt",,,"Male","https://cpj-photos.s3.amazonaws.com/IA-2-2018-01-02-1514916264741.jpg","Free Ismail Alexandrani Campaign","Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Internet Reporter, Print Reporter","Human Rights, Politics","Internet, Print","Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,"Anti-state, False News",,"5-10 Years","Yes",,,,"7 years","Cairo"
"2022","Imprisoned","İsmail Çoban",,"Turkey",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Azadiya Welat","Editor","Business, Corruption, Crime, Culture, Human Rights, Politics, Sports, War","Internet, Print","Turkey","Diyarbakır",,,"Diyarbakır",,"Local",,,,,,,,,"Anti-state",,"5-10 Years","No",,,,"9 years 6 months",
"2022","Imprisoned","Ivan Muravyou",,"Belarus",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Camera Operator, Photographer","Politics","Internet, Television","Belarus","Minsk",,,"Minsk",,"Local",,,,,,,,,"Anti-state",,"Sentence Pending","No",,,,"Not sentenced",
"2022","Imprisoned","Ivan Safronov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ivan-safronov - credit_ Safronov family .JPG","Safronov Family","Journalist","Imprisoned","N/A","Imprisoned","Staff","Kommersant, Vedomosti","Internet Reporter, Print Reporter","Business, Corruption, Crime, Politics, War","Internet, Print","Russia","Moscow",,,"Moscow",,"Local",,,,,,,,,"Anti-state",,"10+ Years","No",,,,"22 years",
"2022","Imprisoned","Ivor Shearer",,"USA",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Documentary Filmmaker","Politics, War","Documentary Film, Internet","Afghanistan",,,,,,"Foreign",,,,,,,,,"No charge disclosed",,,"No",,,,"Not sentenced",
"2022","Imprisoned","Jihad As'ad Mohamed",,"Syria",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Freelance","Freelance","Editor, Internet Reporter, Print Reporter","Culture, Human Rights, Politics","Internet, Print","Syria","Syria",,,"Syria",,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
"2022","Imprisoned","Jimi'ie Kimeil",,"Eritrea",,,"Male",,,"Journalist","Imprisoned","N/A","Imprisoned","Staff","Eritrea al-Haditha","Editor, Print Reporter","Sports","Print","Eritrea",,,,,,"Local",,,,,,,,,"No charge disclosed",,"Sentence Pending","No",,,,"Not sentenced","Unknown"
